data,positivi,quarantena,guariti,decessi
2021-03-28,24,67,0,0
2021-03-29,25,68,1,0
2021-03-30,25,68,1,0
2021-03-31,27,63,1,0
2021-04-01,27,60,1,0
2021-04-02,30,55,1,0
2021-04-03,28,52,3,0
2021-04-04,28,47,3,0
2021-04-05,30,40,3,0
2021-04-06,35,41,3,0
2021-04-07,36,36,3,0
2021-04-08,35,26,4,0
2021-04-09,35,27,5,0
2021-04-10,35,24,5,0
2021-04-11,35,24,5,0
2021-04-12,35,24,5,0
2021-04-13,25,16,15,0
2021-04-14,23,18,17,0
2021-04-15,21,15,19,0
2021-04-16,21,18,19,0
2021-04-17,21,18,19,0
2021-04-18,21,18,19,0
2021-04-19,18,10,22,0
2021-04-20,18,10,22,0
2021-04-21,13,6,27,0
2021-04-22,12,5,28,0
2021-04-23,10,3,30,0
2021-04-24,10,3,30,0
2021-04-25,8,3,32,0
2021-04-26,8,3,32,0
2021-04-27,7,3,33,0
2021-04-28,7,3,33,0
2021-04-29,0,3,40,0
2021-04-30,0,3,40,0
2021-05-01,1,1,40,0
2021-05-02,1,1,40,0
2021-05-03,0,1,41,0
2021-05-04,0,1,41,0
2021-05-12,1,0,41,0
2021-05-13,1,7,41,0
2021-05-14,1,7,41,0
2021-05-15,2,6,41,0
2021-05-25,0,1,43,0
2021-05-26,1,1,43,0
2021-05-29,4,6,43,0
2021-06-03,5,3,43,0
2021-06-04,6,6,43,0
2021-06-13,3,6,46,0
